no,seq,time_epoch,retransmission,out_of_order
20871,18386143,1716238939.313924000,,
20873,18387464,1716238939.314144000,,
20875,18390106,1716238939.314255000,,
20876,18391427,1716238939.314361000,,
20878,18392748,1716238939.324520000,,
20880,18395390,1716238939.324646000,,
20881,18396711,1716238939.324762000,,
20883,18398032,1716238939.324851000,,
20884,18399353,1716238939.325007000,,
20886,18400674,1716238939.325087000,,
20887,18401995,1716238939.325299000,,
20889,18403316,1716238939.325354000,,
20890,18404637,1716238939.325510000,,
20892,18405958,1716238939.325623000,,
20893,18407279,1716238939.325710000,,
20895,18408600,1716238939.334209000,,
20896,18409921,1716238939.336570000,,
20897,18412563,1716238939.336647000,,
20898,18413884,1716238939.336690000,,
20900,18415205,1716238939.336810000,,
20901,18416526,1716238939.337031000,,
20903,18417847,1716238939.337117000,,
20904,18419168,1716238939.337242000,,
20906,18420489,1716238939.337761000,,
20907,18421810,1716238939.337821000,,
20909,18423131,1716238939.338071000,,
20910,18424452,1716238939.338176000,,
20912,18425773,1716238939.346914000,,
20914,18428415,1716238939.347175000,,
20915,18429736,1716238939.347314000,,
20917,18432378,1716238939.347406000,,
20918,18433699,1716238939.347506000,,
20920,18435020,1716238939.347593000,,
20921,18436341,1716238939.347813000,,
20923,18437662,1716238939.347900000,,
20924,18438983,1716238939.348126000,,
20926,18441625,1716238939.350385000,,
20928,18442946,1716238939.370435000,,
20930,18445588,1716238939.370522000,,
20932,18446909,1716238939.370619000,,
20934,18448230,1716238939.370718000,,
20936,18449551,1716238939.370846000,,
20938,18450872,1716238939.370965000,,
20940,18452193,1716238939.371105000,,
20942,18453514,1716238939.371246000,,
20944,18454835,1716238939.371387000,,
20946,18456156,1716238939.371477000,,
20948,18457477,1716238939.371612000,,
20950,18460119,1716238939.380500000,,
20951,18440304,1716238939.380500000,1,
20952,18461440,1716238939.380500000,,
20956,18462761,1716238939.385223000,,
20958,18465403,1716238939.385351000,,
20960,18466724,1716238939.385451000,,
20962,18468045,1716238939.385551000,,
20964,18469366,1716238939.390413000,,
20965,18458798,1716238939.390414000,1,
20968,18470687,1716238939.390766000,,
20970,18472008,1716238939.391001000,,
20971,18473329,1716238939.394760000,,
20973,18475971,1716238939.395169000,,
20974,18477292,1716238939.403521000,,
20975,18479934,1716238939.403521000,,
20977,18481255,1716238939.403696000,,
20978,18482576,1716238939.405881000,,
20979,18486539,1716238939.405946000,,
20981,18487860,1716238939.406028000,,
20982,18489181,1716238939.406147000,,
20984,18490502,1716238939.425262000,,
20985,18494465,1716238939.425332000,,
20987,18495786,1716238939.425542000,,
20989,18498428,1716238939.425722000,,
20990,18499749,1716238939.425778000,,
20992,18501070,1716238939.425946000,,
20993,18502391,1716238939.426071000,,
20995,18503712,1716238939.426193000,,
20996,18506354,1716238939.435502000,,
20998,18508996,1716238939.436543000,,
21000,18510317,1716238939.436694000,,
21002,18511638,1716238939.436760000,,
21004,18512959,1716238939.436859000,,
21006,18514280,1716238939.437000000,,
21008,18515601,1716238939.437187000,,
21010,18516922,1716238939.437217000,,
21012,18518243,1716238939.437342000,,
21014,18519564,1716238939.445283000,,
21016,18520885,1716238939.445362000,,
21018,18522206,1716238939.445447000,,
21020,18505033,1716238939.445543000,1,
21022,18523527,1716238939.448326000,,
21024,18526169,1716238939.457419000,,
21026,18528811,1716238939.457689000,,
21027,18530132,1716238939.457751000,,
21029,18531453,1716238939.458131000,,
21030,18532774,1716238939.458406000,,
21032,18534095,1716238939.458533000,,
21034,18536737,1716238939.467557000,,
21035,18539379,1716238939.467558000,,
21037,18540700,1716238939.467676000,,
21038,18542021,1716238939.467839000,,
21040,18543342,1716238939.467906000,,
21041,18544663,1716238939.468015000,,
21043,18545984,1716238939.468141000,,
21044,18547305,1716238939.468239000,,
21046,18548626,1716238939.477091000,,
21047,18549947,1716238939.477547000,,
21049,18551268,1716238939.477615000,,
21050,18552589,1716238939.477736000,,
21052,18553910,1716238939.477975000,,
21053,18555231,1716238939.478095000,,
21055,18556552,1716238939.478249000,,
21056,18557873,1716238939.480876000,,
21058,18560515,1716238939.487623000,,
21060,18563157,1716238939.487806000,,
21061,18564478,1716238939.487893000,,
21063,18565799,1716238939.488019000,,
21064,18567120,1716238939.488091000,,
21066,18568441,1716238939.490385000,,
21068,18571083,1716238939.490847000,,
21069,18572404,1716238939.491003000,,
21071,18573725,1716238939.499859000,,
21072,18575046,1716238939.499901000,,
21074,18576367,1716238939.500039000,,
21075,18577688,1716238939.500058000,,
21077,18579009,1716238939.500298000,,
21078,18580330,1716238939.501233000,,
21080,18581651,1716238939.501387000,,
21081,18582972,1716238939.501464000,,
21083,18584293,1716238939.501628000,,
21084,18585614,1716238939.501783000,,
21086,18586935,1716238939.509873000,,
21088,18589577,1716238939.510651000,,
21089,18590898,1716238939.510701000,,
21091,18592219,1716238939.510816000,,
21092,18593540,1716238939.510945000,,
